name,model,tag,category,keep,shift_needed_2h,scenario1
Date,all,index,datetime,no,,
Intraday Auction Price,all,input,price,yes,,x
Dayahead_Auction_hourly,all,input,price,yes,,x
Load,all,input,balancing,yes,x,x
VWAP_345to360,all,input,price,yes,,x
VWAP_330to345,all,input,price,yes,,x
VWAP_315to330,all,input,price,yes,,x
VWAP_300to315,all,input,price,yes,,x
VWAP_285to300,all,input,price,yes,,x
VWAP_270to285,all,input,price,yes,,x
VWAP_255to270,all,input,price,yes,,x
VWAP_240to255,all,input,price,yes,,x
VWAP_225to240,all,input,price,yes,,x
VWAP_210to225,all,input,price,yes,,x
VWAP_195to210,all,input,price,yes,,x
VWAP_180to195,all,input,price,yes,,x
VWAP_165to180,all,input,price,yes,,x
VWAP_150to165,all,input,price,yes,,x
VWAP_135to150,all,input,price,yes,,x
VWAP_120to135,all,input,price,yes,,x
VWAP_105to120,all,input,price,yes,,x
VWAP_90to105,all,input,price,yes,,x
VWAP_75to90,all,input,price,pending,,x
VWAP_60to75,all,input,price,pending,,x
Weekday_7,all,input,datetime,yes,,x
Weekday_1,all,input,datetime,yes,,x
Weekday_2,all,input,datetime,yes,,x
Weekday_3,all,input,datetime,yes,,x
Weekday_4,all,input,datetime,yes,,x
Weekday_5,all,input,datetime,yes,,x
Weekday_6,all,input,datetime,yes,,x
Hour_0,all,input,datetime,yes,,x
Hour_1,all,input,datetime,yes,,x
Hour_2,all,input,datetime,yes,,x
Hour_3,all,input,datetime,yes,,x
Hour_4,all,input,datetime,yes,,x
Hour_5,all,input,datetime,yes,,x
Hour_6,all,input,datetime,yes,,x
Hour_7,all,input,datetime,yes,,x
Hour_8,all,input,datetime,yes,,x
Hour_9,all,input,datetime,yes,,x
Hour_10,all,input,datetime,yes,,x
Hour_11,all,input,datetime,yes,,x
Hour_12,all,input,datetime,yes,,x
Hour_13,all,input,datetime,yes,,x
Hour_14,all,input,datetime,yes,,x
Hour_15,all,input,datetime,yes,,x
Hour_16,all,input,datetime,yes,,x
Hour_17,all,input,datetime,yes,,x
Hour_18,all,input,datetime,yes,,x
Hour_19,all,input,datetime,yes,,x
Hour_20,all,input,datetime,yes,,x
Hour_21,all,input,datetime,yes,,x
Hour_22,all,input,datetime,yes,,x
Hour_23,all,input,datetime,yes,,x
Quarter_1,all,input,datetime,yes,,x
Quarter_2,all,input,datetime,yes,,x
Quarter_3,all,input,datetime,yes,,x
Quarter_4,all,input,datetime,yes,,x
prediction_error_solar,all,input,error,yes,x,x
prediction_error_offshore,all,input,error,yes,x,x
prediction_error_onshore,all,input,error,yes,x,x
DE4_MRL_positive,DE4,input,balancing,yes,x,x
DE2_MRL_positive,DE2,input,balancing,yes,x,x
DE3_MRL_positive,DE3,input,balancing,yes,x,x
DE1_MRL_positive,DE1,input,balancing,yes,x,x
DE_MRL_positive,all,input,balancing,yes,x,x
